[2025-05-13 18:04:08] Starting UE client to RRH (10.0.0.100)
   [2025-05-13 18:09:20] Previous Value: 307, New Value: 308, vBBU: vbbu1
   [2025-05-13 18:09:21] Previous Value: 308, New Value: 309, vBBU: vbbu1
   [2025-05-13 18:09:22] Previous Value: 309, New Value: 310, vBBU: vbbu1
   [2025-05-13 18:09:23] Previous Value: 310, New Value: 311, vBBU: vbbu1
   [2025-05-13 18:09:24] Previous Value: 311, New Value: 312, vBBU: vbbu1
   [2025-05-13 18:09:25] Previous Value: 312, New Value: 313, vBBU: vbbu1
   [2025-05-13 18:09:26] Previous Value: 313, New Value: 314, vBBU: vbbu1
   [2025-05-13 18:09:28] Previous Value: 314, New Value: 315, vBBU: vbbu1
   [2025-05-13 18:09:29] Previous Value: 315, New Value: 316, vBBU: vbbu1
   [2025-05-13 18:09:30] Previous Value: 316, New Value: 317, vBBU: vbbu1
   [2025-05-13 18:09:31] Previous Value: 317, New Value: 318, vBBU: vbbu1
   [2025-05-13 18:09:32] Previous Value: 318, New Value: 319, vBBU: vbbu1
   [2025-05-13 18:09:33] Previous Value: 319, New Value: 320, vBBU: vbbu1
   [2025-05-13 18:09:34] Previous Value: 320, New Value: 321, vBBU: vbbu1
   [2025-05-13 18:09:35] Previous Value: 321, New Value: 322, vBBU: vbbu1
   [2025-05-13 18:09:36] Previous Value: 322, New Value: 323, vBBU: vbbu1
   [2025-05-13 18:09:37] Previous Value: 323, New Value: 324, vBBU: vbbu1
   [2025-05-13 18:09:38] Previous Value: 324, New Value: 325, vBBU: vbbu1
   [2025-05-13 18:09:39] Previous Value: 325, New Value: 326, vBBU: vbbu1
   [2025-05-13 18:09:40] Previous Value: 326, New Value: 327, vBBU: vbbu1
